2;;CUNEIFORM SIGN A;;12000;;a
3;;CUNEIFORM SIGN A TIMES A;;12001;;a×a
4;;CUNEIFORM SIGN A TIMES BAD;;12002;;a×bad
5;;CUNEIFORM SIGN A TIMES GAN2 TENU;;12003;;a×gan<sub>2</sub>tenû
6;;CUNEIFORM SIGN A TIMES HA;;12004;;a×ḫa
7;;CUNEIFORM SIGN A TIMES IGI;;12005;;a×igi
8;;CUNEIFORM SIGN A TIMES LAGAR GUNU;;12006;;a×lagargunû
9;;CUNEIFORM SIGN A TIMES MUSH;;12007;;a×muš
10;;CUNEIFORM SIGN A TIMES SAG;;12008;;a×sag
11;;CUNEIFORM SIGN A2;;12009;;a<sub>2</sub>
12;;CUNEIFORM SIGN AB;;1200A;;ab
13;;CUNEIFORM SIGN AB TIMES ASH2;;1200B;;ab×aš<sub>2</sub>
14;;CUNEIFORM SIGN AB TIMES DUN3 GUNU;;1200C;;ab×dun<sub>3</sub>gunû
15;;CUNEIFORM SIGN AB TIMES GAL;;1200D;;ab×gal
16;;CUNEIFORM SIGN AB TIMES GAN2 TENU;;1200E;;ab×gal<sub>2</sub>gunû
17;;CUNEIFORM SIGN AB TIMES HA;;1200F;;ab×ḫa
18;;CUNEIFORM SIGN AB TIMES IGI GUNU;;12010;;ab×igigunû
19;;CUNEIFORM SIGN AB TIMES IMIN;;12011;;ab×imin
20;;CUNEIFORM SIGN AB TIMES LAGAB;;12012;;ab×lagab
21;;CUNEIFORM SIGN AB TIMES SHESH;;12013;;ab×šeš
22;;CUNEIFORM SIGN AB TIMES U PLUS U PLUS U;;12014;;ab×u+u+u
23;;CUNEIFORM SIGN AB GUNU;;12015;;abgunû
24;;CUNEIFORM SIGN AB2;;12016;;ab<sub>2</sub>
25;;CUNEIFORM SIGN AB2 TIMES BALAG;;12017;;ab<sub>2</sub>×balag
26;;CUNEIFORM SIGN AB2 TIMES GAN2 TENU;;12018;;ab2×gan<sub>2</sub>tenû
27;;CUNEIFORM SIGN AB2 TIMES ME PLUS EN;;12019;;ab<sub>2</sub>×me+en
28;;CUNEIFORM SIGN AB2 TIMES SHA3;;1201A;;ab<sub>2</sub>×ša<sub>3</sub>
29;;CUNEIFORM SIGN AB2 TIMES TAK4;;1201B;;ab<sub>2</sub>×tak<sub>4</sub>
30;;CUNEIFORM SIGN AD;;1201C;;ad
31;;CUNEIFORM SIGN AK;;1201D;;ak
32;;CUNEIFORM SIGN AK TIMES ERIN2;;1201E;;ak×erin<sub>2</sub>
33;;CUNEIFORM SIGN AK TIMES SHITA PLUS GISH;;1201F;;ak×šita+giš
34;;CUNEIFORM SIGN AL;;12020;;al
35;;CUNEIFORM SIGN AL TIMES AL;;12021;;al×al
36;;CUNEIFORM SIGN AL TIMES DIM2;;12022;;al×dim<sub>2</sub>
37;;CUNEIFORM SIGN AL TIMES GISH;;12023;;al×giš
38;;CUNEIFORM SIGN AL TIMES HA;;12024;;al×ḫa
39;;CUNEIFORM SIGN AL TIMES KAD3;;12025;;al×kad<sub>3</sub>
40;;CUNEIFORM SIGN AL TIMES KI;;12026;;al×ki
41;;CUNEIFORM SIGN AL TIMES SHE;;12027;;al×še
42;;CUNEIFORM SIGN AL TIMES USH;;12028;;al×uš
43;;CUNEIFORM SIGN ALAN;;12029;;alan
44;;CUNEIFORM SIGN ALEPH;;1202A;;aleph
45;;CUNEIFORM SIGN AMAR;;1202B;;amar
46;;CUNEIFORM SIGN AMAR TIMES SHE;;1202C;;amar×še
47;;CUNEIFORM SIGN AN;;1202D;;an
48;;CUNEIFORM SIGN AN OVER AN;;1202E;;an/an
49;;CUNEIFORM SIGN AN THREE TIMES;;1202F;;andreimal
50;;CUNEIFORM SIGN AN PLUS NAGA OPPOSING AN PLUS NAGA;;12030;;an+nagagegenüberan+naga
51;;CUNEIFORM SIGN AN PLUS NAGA SQUARED;;12031;;an+nagaimquadrat
52;;CUNEIFORM SIGN ANSHE;;12032;;anše
53;;CUNEIFORM SIGN APIN;;12033;;apin
54;;CUNEIFORM SIGN ARAD;;12034;;arad
55;;CUNEIFORM SIGN ARAD TIMES KUR;;12035;;arad×kur
56;;CUNEIFORM SIGN ARKAB;;12036;;arkab
57;;CUNEIFORM SIGN ASAL2;;12037;;asal<sub>2</sub>
58;;CUNEIFORM SIGN ASH;;12038;;aš
59;;CUNEIFORM SIGN ASH ZIDA TENU;;12039;;ašzidatenû
60;;CUNEIFORM SIGN ASH KABA TENU;;1203A;;aškabatenû
61;;CUNEIFORM SIGN ASH OVER ASH TUG2 OVER TUG2 TUG2 OVER TUG2 PAP;;1203B;;aš/aštug<sub>2</sub>/tug<sub>2</sub>tug<sub>2</sub>/tug<sub>2</sub>pap
62;;CUNEIFORM SIGN ASH OVER ASH OVER ASH;;1203C;;aš/aš/aš
63;;CUNEIFORM SIGN ASH OVER ASH OVER ASH CROSSING ASH OVER ASH OVER ASH;;1203D;;aš/aš/aškreuztaš/aš/aš
64;;CUNEIFORM SIGN ASH2;;1203E;;aš<sub>2</sub>
65;;CUNEIFORM SIGN ASHGAB;;1203F;;ašgab
66;;CUNEIFORM SIGN BA;;12040;;ba
67;;CUNEIFORM SIGN BAD;;12041;;bad
68;;CUNEIFORM SIGN BAG3;;12042;;bag<sub>3</sub>
69;;CUNEIFORM SIGN BAHAR2;;12043;;baḫar<sub>2</sub>
70;;CUNEIFORM SIGN BAL;;12044;;bal
71;;CUNEIFORM SIGN BAL OVER BAL;;12045;;bal/bal
72;;CUNEIFORM SIGN BALAG;;12046;;balag
73;;CUNEIFORM SIGN BAR;;12047;;bar
74;;CUNEIFORM SIGN BARA2;;12048;;bara<sub>2</sub>
75;;CUNEIFORM SIGN BI;;12049;;bi
76;;CUNEIFORM SIGN BI TIMES A;;1204A;;bi×a
77;;CUNEIFORM SIGN BI TIMES GAR;;1204B;;bi×gar
78;;CUNEIFORM SIGN BI TIMES IGI GUNU;;1204C;;bi×igigunû
79;;CUNEIFORM SIGN BU;;1204D;;bu
80;;CUNEIFORM SIGN BU OVER BU AB;;1204E;;bu/buab
81;;CUNEIFORM SIGN BU OVER BU UN;;1204F;;bu/buun
